mode,n,nx,iteration,objective,gradient_norm,condition_number,step_size,shots_per_iteration,backtrack_count,accepted_step
classical,4,16,0,4786.502399262427,0.06755475207125528,1.16154312949548,55.0,0,0,1
classical,4,16,1,4786.258299101276,0.06384044239973768,1.1615577148927265,55.0,0,0,1
classical,4,16,2,4786.0403033475395,0.06033035423783102,1.1615715249276337,55.0,0,0,1
classical,4,16,3,4785.84562035646,0.0570132589465184,1.161584599428552,55.0,0,0,1
classical,4,16,4,4785.671757026534,0.05387854527330887,1.1615969763277292,55.0,0,0,1
classical,4,16,5,4785.516486872692,0.050916185405685384,1.1616086917350783,55.0,0,0,1
classical,4,16,6,4785.377821513833,0.04811670289115012,1.161619780011004,55.0,0,0,1
classical,4,16,7,4785.253985209522,0.045471142321221895,1.1616302738380313,55.0,0,0,1
classical,4,16,8,4785.143392119823,0.04297104068238652,1.1616402042910146,55.0,0,0,1
classical,4,16,9,4785.044625996974,0.04060840028233473,1.1616496009057609,55.0,0,0,1
classical,4,16,10,4784.9564220489165,0.03837566316486453,1.16165849174592,55.0,0,0,1
classical,4,16,11,4784.877650742359,0.03626568693158811,1.1616669034680298,55.0,0,0,1
classical,4,16,12,4784.807303337962,0.03427172189308509,1.1616748613846328,55.0,0,0,1
classical,4,16,13,4784.744478972452,0.03238738947639911,1.1616823895254036,55.0,0,0,1
classical,4,16,14,4784.688373122167,0.03060666181979382,1.161689510696243,55.0,0,0,1
classical,4,16,15,4784.638267300339,0.028923842489484375,1.1616962465363156,55.0,0,0,1
classical,4,16,16,4784.593519856191,0.02733354825664994,1.1617026175730192,55.0,0,0,1
classical,4,16,17,4784.553557757963,0.025830691876426004,1.161708643274893,55.0,0,0,1
classical,4,16,18,4784.5178692546915,0.024410465813780938,1.1617143421024778,55.0,0,0,1
classical,4,16,19,4784.4859973227585,0.023068326864211012,1.1617197315571455,55.0,0,0,1
classical,4,16,20,4784.457533813258,0.02179998162005161,1.161724828227944,55.0,0,0,1
classical,4,16,21,4784.432114225269,0.02060137273590754,1.1617296478364776,55.0,0,0,1
classical,4,16,22,4784.409413038078,0.01946866594926204,1.1617342052798778,55.0,0,0,1
classical,4,16,23,4784.389139542577,0.018398237814741442,1.1617385146719104,55.0,0,0,1
classical,4,16,24,4784.371034118463,0.01738666411279392,1.1617425893822642,55.0,0,0,1
classical,4,16,25,4784.354864909563,0.016430708895700454,1.1617464420740793,55.0,0,0,1
classical,4,16,26,4784.340424854689,0.015527314135873913,1.1617500847397704,55.0,0,0,1
classical,4,16,27,4784.327529036047,0.014673589943329514,1.1617535287351979,55.0,0,0,1
classical,4,16,28,4784.316012311175,0.01386680532103132,1.1617567848122474,55.0,0,0,1
classical,4,16,29,4784.305727198146,0.013104379428539719,1.161759863149872,55.0,0,0,1
classical,4,16,30,4784.296541986942,0.012383873326011102,1.161762773383658,55.0,0,0,1
classical,4,16,31,4784.2883390527695,0.01170298217213847,1.1617655246339724,55.0,0,0,1
classical,4,16,32,4784.28101334977,0.011059527851072892,1.161768125532742,55.0,0,0,1
classical,4,16,33,4784.274471065822,0.010451452004738928,1.1617705842489223,55.0,0,0,1
classical,4,16,34,4784.268628421181,0.009876809448254129,1.1617729085127224,55.0,0,0,1
classical,4,16,35,4784.2634105956095,0.009333761947387694,1.161775105638618,55.0,0,0,1
classical,4,16,36,4784.258750770236,0.00882057233815212,1.161777182547223,55.0,0,0,1
classical,4,16,37,4784.254589271874,0.008335598969716512,1.1617791457860611,55.0,0,0,1
classical,4,16,38,4784.250872808865,0.007877290452863695,1.1617810015492902,55.0,0,0,1
classical,4,16,39,4784.247553788617,0.007444180697191555,1.1617827556964244,55.0,0,0,1
classical,4,16,40,4784.244589708146,0.007034884221182426,1.1617844137701046,55.0,0,0,1
classical,4,16,41,4784.241942609788,0.006648091720137246,1.1617859810129552,55.0,0,0,1
classical,4,16,42,4784.239578595117,0.00628256587779653,1.1617874623835778,55.0,0,0,1
classical,4,16,43,4784.237467390842,0.005937137408249033,1.1617888625717159,55.0,0,0,1
classical,4,16,44,4784.23558196113,0.005610701315466599,1.1617901860126363,55.0,0,0,1
classical,4,16,45,4784.233898161397,0.005302213358499195,1.1617914369007603,55.0,0,0,1
classical,4,16,46,4784.232394429103,0.005010686711022434,1.1617926192025863,55.0,0,0,1
classical,4,16,47,4784.231051507635,0.004735188804551478,1.161793736668931,55.0,0,0,1
classical,4,16,48,4784.229852199699,0.004474838345222713,1.1617947928465358,55.0,0,0,1
classical,4,16,49,4784.228781147107,0.00422880249460024,1.1617957910890568,55.0,0,0,1
classical,4,16,50,4784.227824634084,0.003996294205488218,1.1617967345674736,55.0,0,0,1
classical,4,16,51,4784.2269704116425,0.0037765697042267564,1.161797626279954,55.0,0,0,1
classical,4,16,52,4784.22620754071,0.003568926111417284,1.1617984690611916,55.0,0,0,1
classical,4,16,53,4784.225526252057,0.003372699193465727,1.1617992655912452,55.0,0,0,1
classical,4,16,54,4784.2249178211805,0.0031872612377514715,1.1618000184039132,55.0,0,0,1
classical,4,16,55,4784.22437445659,0.0030120190446242374,1.161800729894658,55.0,0,0,1
classical,4,16,56,4784.223889200022,0.0028464120298057733,1.1618014023281076,55.0,0,0,1
classical,4,16,57,4784.223455837342,0.002689910431125725,1.161802037845156,55.0,0,0,1
classical,4,16,58,4784.2230688189575,0.0025420136138553846,1.161802638469684,55.0,0,0,1
classical,4,16,59,4784.222723188757,0.002402248469217976,1.1618032061149177,55.0,0,0,1
classical,4,16,60,4784.222414520647,0.002270167900952574,1.1618037425894467,55.0,0,0,1
classical,4,16,61,4784.222138861853,0.0021453493950898796,1.1618042496029173,55.0,0,0,1
classical,4,16,62,4784.221892682324,0.0020273936683652995,1.161804728771421,55.0,0,0,1
classical,4,16,63,4784.221672829516,0.0019159233909449237,1.16180518162259,55.0,0,0,1
classical,4,16,64,4784.22147648802,0.0018105819793791784,1.1618056096004181,55.0,0,0,1
classical,4,16,65,4784.22130114351,0.001711032455922336,1.161806014069823,55.0,0,0,1
classical,4,16,66,4784.22114455054,0.0016169563705692336,1.1618063963209597,55.0,0,0,1
classical,4,16,67,4784.221004703805,0.0015280527823608183,1.1618067575733002,55.0,0,0,1
classical,4,16,68,4784.220879812443,0.0014440372966995788,1.161807098979494,55.0,0,0,1
classical,4,16,69,4784.220768277109,0.001364641155595711,1.161807421629017,55.0,0,0,1
classical,4,16,70,4784.220668669491,0.0012896103779333362,1.1618077265516256,55.0,0,0,1
classical,4,16,71,4784.220579714029,0.0012187049470068754,1.1618080147206171,55.0,0,0,1
classical,4,16,72,4784.220500271568,0.0011516980427282134,1.161808287055921,55.0,0,0,1
classical,4,16,73,4784.220429324779,0.0010883753160491026,1.1618085444270152,55.0,0,0,1
classical,4,16,74,4784.22036596512,0.001028534203277119,1.1618087876556882,55.0,0,0,1
classical,4,16,75,4784.220309381222,0.0009719832780920209,1.1618090175186462,55.0,0,0,1
classical,4,16,76,4784.220258848472,0.0009185416391897614,1.161809234749984,55.0,0,0,1
classical,4,16,77,4784.220213719755,0.0008680383315950118,1.1618094400435148,55.0,0,0,1
classical,4,16,78,4784.220173417158,0.00082031179979129,1.1618096340549797,55.0,0,0,1
classical,4,16,79,4784.22013742457,0.0007752093709189946,1.1618098174041323,55.0,0,0,1
classical,4,16,80,4784.220105281072,0.0007325867663884249,1.1618099906767063,55.0,0,0,1
classical,4,16,81,4784.2200765750395,0.0006923076403453069,1.1618101544262864,55.0,0,0,1
classical,4,16,82,4784.220050938864,0.0006542431435124878,1.1618103091760659,55.0,0,0,1
classical,4,16,83,4784.220028044257,0.0006182715110124992,1.1618104554205129,55.0,0,0,1
classical,4,16,84,4784.220007598026,0.000584277672852495,1.1618105936269476,55.0,0,0,1
classical,4,16,85,4784.21998933834,0.0005521528858256703,1.1618107242370288,55.0,0,0,1
classical,4,16,86,4784.21997303137,0.0005217943856513129,1.1618108476681621,55.0,0,0,1
classical,4,16,87,4784.219958468288,0.0004931050582410317,1.1618109643148307,55.0,0,0,1
classical,4,16,88,4784.2199454626,0.00046599312903961476,1.1618110745498518,55.0,0,0,1
classical,4,16,89,4784.219933847755,0.0004403718694461876,1.1618111787255654,55.0,0,0,1
classical,4,16,90,4784.219923475021,0.00041615931937736015,1.161811277174959,55.0,0,0,1
classical,4,16,91,4784.219914211558,0.00039327802508419703,1.161811370212729,55.0,0,0,1
classical,4,16,92,4784.219905938744,0.00037165479138458397,1.1618114581362844,55.0,0,0,1
classical,4,16,93,4784.219898550636,0.00035122044751845666,1.1618115412266958,55.0,0,0,1
classical,4,16,94,4784.219891952622,0.0003319096258767107,1.1618116197495922,55.0,0,0,1
classical,4,16,95,4784.219886060208,0.00031366055289615795,1.1618116939560086,55.0,0,0,1
classical,4,16,96,4784.2198807979385,0.0002964148514513439,1.161811764083188,55.0,0,0,1
classical,4,16,97,4784.219876098425,0.0002801173541114967,1.1618118303553375,55.0,0,0,1
classical,4,16,98,4784.219871901482,0.000264715926664788,1.1618118929843455,55.0,0,0,1
classical,4,16,99,4784.219868153367,0.0002501613013457812,1.161811952170457,55.0,0,0,1
classical,8,16,0,9205.535856334944,0.13664468315936681,1.7621790229642194,55.0,0,0,1
classical,8,16,1,9204.537124085717,0.12913614987060262,1.7623264790924675,55.0,0,0,1
classical,8,16,2,9203.645135544679,0.12204021145501623,1.7624669135814135,55.0,0,0,1
classical,8,16,3,9202.848481951647,0.11533419513420737,1.7626006017340672,55.0,0,0,1
classical,8,16,4,9202.136973925994,0.10899667410414808,1.7627278145125624,55.0,0,0,1
classical,8,16,5,9201.501511136234,0.10300739905602323,1.7628488178311272,55.0,0,0,1
classical,8,16,6,9200.933965900042,0.09734723346145042,1.7629638719482352,55.0,0,0,1
classical,8,16,7,9200.427079225563,0.09199809241506993,1.7630732309537265,55.0,0,0,1
classical,8,16,8,9199.974367964243,0.08694288483888701,1.7631771423454292,55.0,0,0,1
classical,8,16,9,9199.570041887513,0.08216545886351251,1.7632758466889742,55.0,0,0,1
classical,8,16,10,9199.208929626573,0.07765055021161962,1.7633695773540574,55.0,0,0,1
classical,8,16,11,9198.886412527972,0.07338373341854405,1.7634585603202009,55.0,0,0,1
classical,8,16,12,9198.598365578886,0.06935137573403755,1.7635430140450818,55.0,0,0,1
classical,8,16,13,9198.341104646428,0.06554059355776536,1.7636231493886958,55.0,0,0,1
classical,8,16,14,9198.111339356132,0.06193921126924624,1.7636991695868776,55.0,0,0,1
classical,8,16,15,9197.90613100692,0.05853572232059788,1.7637712702680906,55.0,0,0,1
classical,8,16,16,9197.722854984117,0.05531925246768842,1.763839639507796,55.0,0,0,1
classical,8,16,17,9197.55916718989,0.05227952502213875,1.7639044579151473,55.0,0,0,1
classical,8,16,18,9197.412974061594,0.04940682801308374,1.7639658987471838,55.0,0,0,1
classical,8,16,19,9197.282405794616,0.046691983153711904,1.764024128046181,55.0,0,0,1
classical,8,16,20,9197.16579242716,0.0441263165133736,1.764079304796172,55.0,0,0,1
classical,8,16,21,9197.06164248114,0.04170163080150589,1.764131581095129,55.0,0,0,1
classical,8,16,22,9196.968623885929,0.03941017917477542,1.764181102339635,55.0,0,0,1
classical,8,16,23,9196.885546940963,0.03724464048371329,1.764228007419242,55.0,0,0,1
classical,8,16,24,9196.811349099355,0.03519809587971956,1.7642724289180618,55.0,0,0,1
classical,8,16,25,9196.745081377787,0.03326400670766421,1.7643144933214066,55.0,0,0,1
classical,8,16,26,9196.68589621895,0.031436193613423924,1.7643543212256063,55.0,0,0,1
classical,8,16,27,9196.633036651223,0.029708816799577476,1.7643920275493579,55.0,0,0,1
classical,8,16,28,9196.585826606957,0.028076357366154738,1.7644277217452027,55.0,0,0,1
classical,8,16,29,9196.54366227557,0.026533599676802463,1.7644615080099222,55.0,0,0,1
classical,8,16,30,9196.50600438078,0.025075614694009922,1.7644934854928298,55.0,0,0,1
classical,8,16,31,9196.472371283271,0.023697744230133738,1.7645237485011027,55.0,0,0,1
classical,8,16,32,9196.44233282051,0.02239558606389078,1.76455238670143,55.0,0,0,1
classical,8,16,33,9196.415504805012,0.021164979874753225,1.7645794853173875,55.0,0,0,1
classical,8,16,34,9196.391544110556,0.020001993950295897,1.7646051253220814,55.0,0,0,1
classical,8,16,35,9196.370144283637,0.018902912624015323,1.764629383625646,55.0,0,0,1
classical,8,16,36,9196.351031623944,0.017864224403476375,1.7646523332573425,55.0,0,0,1
classical,8,16,37,9196.33396168374,0.016882610750847907,1.764674043542015,55.0,0,0,1
classical,8,16,38,9196.318716141403,0.015954935479974175,1.7646945802707663,55.0,0,0,1
classical,8,16,39,9196.3051000091,0.015078234736100671,1.7647140058657496,55.0,0,0,1
classical,8,16,40,9196.292939138923,0.01424970752623298,1.764732379539034,55.0,0,0,1
classical,8,16,41,9196.282077995545,0.0134667067698693,1.7647497574455413,55.0,0,0,1
classical,8,16,42,9196.272377666955,0.01272673084150963,1.7647661928300689,55.0,0,0,1
classical,8,16,43,9196.263714087769,0.012027415577915816,1.7647817361684754,55.0,0,0,1
classical,8,16,44,9196.255976452447,0.01136652672458289,1.7647964353031045,55.0,0,0,1
classical,8,16,45,9196.24906579814,0.01074195279728499,1.7648103355725506,55.0,0,0,1
classical,8,16,46,9196.242893738927,0.010151698335886397,1.7648234799358828,55.0,0,0,1
classical,8,16,47,9196.237381335392,0.009593877528861114,1.7648359090914771,55.0,0,0,1
classical,8,16,48,9196.232458085,0.00906670818814966,1.7648476615905841,55.0,0,0,1
classical,8,16,49,9196.228061020374,0.008568506055100893,1.764858773945796,55.0,0,0,1
classical,8,16,50,9196.22413390395,0.008097679419305148,1.7648692807345714,55.0,0,0,1
classical,8,16,51,9196.220626508728,0.0076527240331241845,1.7648792146979697,55.0,0,0,1
classical,8,16,52,9196.217493975844,0.007232218305669185,1.7648886068347842,55.0,0,0,1
